message_id,customer_id,sent_at,clicked,converted,client_id,gender,customer_country,age,created_at,client_name,product_type,client_country,channel,message_number,total_message_days
18e91807e44601cc354e0438de23ec49,00043de85b74cba03f23dfe600b781bb,2021-09-28 09:15:05.836000+00:00,0,0,c81e728d9d4c2f636f067f89cc14862c,F,UK,64.0,2021-07-28 20:32:40.836000+00:00,Badgerbank,CreditCard,UK,Email,9.0,54.0
630bed081fc98777bf6dc40a130047ff,0004a5f5de52a32daabb66e9c69ca05a,2021-09-29 09:45:16.913000+00:00,0,0,eccbc87e4b5ce2fe28308fd9f2a7baf3,M,NZ,28.0,2021-02-01 08:03:56.913000+00:00,KiwiPay,BNPL,NZ,SMS,34.0,229.9
840a7a84db4f789a5240a5a9b18495e0,0021b8a5c5747c1b2cdca92c54d68d2b,2021-09-28 10:24:19.694000+00:00,0,0,a87ff679a2f3e71d9181a67b7542122c,F,NZ,63.0,2021-06-04 21:00:23.694000+00:00,Skink Solar,Energy,NZ,Email,17.0,110.8
1fd6a6f2cb3717b57d9cc4f42c1cc119,002cb5e3ce196755e4705e3ce2253077,2021-07-07 10:14:27.494000+00:00,1,1,1679091c5a880faf6fb5e6087eb1b2dc,F,CA,19.0,2021-03-31 21:42:19.494000+00:00,Moose Money,BNPL,CA,Email,14.0,88.7
95a25a4c385c238adca84f5c94582ce4,0033da85f997a74fdffc322dc6f6d217,2021-09-29 12:58:55.814000+00:00,0,0,c4ca4238a0b923820dcc509a6f75849b,,UK,57.0,2021-05-28 03:00:43.814000+00:00,Fox Energy,Energy,UK,Email,18.0,118.1
856fd8daeddb60f01024dd22f11f0a5e,0039c78852c5c6ccbcb1bf3d95ac0210,2021-02-05 10:50:47.279000+00:00,1,1,cfcd208495d565ef66e7dff9f98764da,F,CA,26.0,2021-01-26 08:38:01.279000+00:00,SwanPay,BNPL,UK,Email,1.0,0.0
11634d6668f942068d4423092189d3ef,003a5412230f1b116c01058c02c8cfe2,2021-09-14 11:02:22.224000+00:00,1,1,1679091c5a880faf6fb5e6087eb1b2dc,M,CA,26.0,2021-09-03 07:26:46.224000+00:00,Moose Money,BNPL,CA,Email,2.0,4.8
5e08628faccb95518d11cfeebb54def2,003b81ab29cd6469fff46e80ba435799,2021-09-28 09:22:54.530000+00:00,0,0,c81e728d9d4c2f636f067f89cc14862c,F,UK,51.0,2021-08-12 13:35:53.530000+00:00,Badgerbank,CreditCard,UK,SMS,7.0,42.0
494d2ec334369b199416a980be239c53,004181ead140b5ee0f0aec71ed677a44,2021-09-23 10:06:31.602000+00:00,1,1,cfcd208495d565ef66e7dff9f98764da,F,CA,40.0,2021-06-03 09:03:04.602000+00:00,SwanPay,BNPL,UK,Email,16.0,103.9
369e77471114b070cef06b5a31c4475a,00444e03c7d7bb4422fd6192fa315591,2021-09-29 19:23:02.044000+00:00,0,0,cfcd208495d565ef66e7dff9f98764da,F,UK,22.0,2021-07-06 15:21:45.044000+00:00,SwanPay,BNPL,UK,Email,12.0,76.1
12eca36072fa92784e968c7876c65ef1,005af940418cfe4ff45cde2c3833013a,2021-09-03 10:52:24.501000+00:00,1,1,1679091c5a880faf6fb5e6087eb1b2dc,F,,22.0,2021-05-09 16:02:26.501000+00:00,Moose Money,BNPL,CA,Email,17.0,115.9
251423d46b9e666492087c202a313c09,00662a19db3bfd0ce59bad40f0ef3b6b,2021-09-30 09:10:27.069000+00:00,0,0,c4ca4238a0b923820dcc509a6f75849b,,NZ,62.0,2021-06-18 17:38:00.069000+00:00,Fox Energy,Energy,UK,SMS,14.0,98.0
675c5896fe220f77eb382c64bfe80cfb,006fd1c6d40b472ec4f4bdaccb912fe9,2021-10-01 11:13:32.703000+00:00,0,0,cfcd208495d565ef66e7dff9f98764da,F,NZ,51.0,2021-03-26 18:18:53.703000+00:00,SwanPay,BNPL,UK,Email,26.0,183.9
ad3a8a63ecef1becf9584091a4ecd63b,007203e290a80f9735d832014d3ffba9,2021-09-30 10:56:22.089000+00:00,0,0,c4ca4238a0b923820dcc509a6f75849b,F,NZ,69.0,2021-03-30 03:38:44.089000+00:00,Fox Energy,Energy,UK,Email,25.0,176.1
ffe0ddcc489ee9ff5fe74d4cade6b4ce,0076f7774d89fe6de301efcef286e202,2021-10-01 11:52:48.190000+00:00,0,0,cfcd208495d565ef66e7dff9f98764da,F,NZ,30.0,2021-01-18 17:53:13.190000+00:00,SwanPay,BNPL,UK,SMS,36.0,246.9
67dd8680f743d87c95d3cbfd994726e4,0077e090f960058003ef499534c31b0e,2021-09-29 09:29:12.408000+00:00,0,0,e4da3b7fbbce2345d7772b0674a318d5,F,CA,41.0,2021-05-10 22:37:56.408000+00:00,Beaver Bank,CreditCard,CA,SMS,20.0,133.9
8cd73b2f3d35661dc720a8a715c5b021,008298be559e34a478857098c3f9674c,2021-10-01 11:41:03.510000+00:00,0,0,8f14e45fceea167a5a36dedd4bea2543,M,CA,38.0,2021-07-24 14:19:16.510000+00:00,Eagle Energy,Energy,CA,Email,10.0,65.0
e31879cbd063be9301f038e1c0957231,008f6713324faa55b519bff252ebaa01,2021-10-01 11:11:36.357000+00:00,0,0,c81e728d9d4c2f636f067f89cc14862c,,CA,40.0,2021-04-06 01:07:16.357000+00:00,Badgerbank,CreditCard,UK,SMS,25.0,168.0
5c9518bd0b3894290567e6421da96021,009127d77ec0c274431f314ec6e152d5,2021-09-29 10:19:02.147000+00:00,1,0,e4da3b7fbbce2345d7772b0674a318d5,M,CA,54.0,2021-02-02 14:28:29.147000+00:00,Beaver Bank,CreditCard,CA,SMS,33.0,230.9
